created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,
06-12-2021,200,202,5,5,2,2,Gunung Putri,SHM,4400,"Selatan, Utara",3128000000,https://www.rumah.com/listing-properti/dijual-cluster-miami-kota-wisata-cibubur-i-10x20-oleh-dk-sari-18289050,"One gate system, keamanan 24 jam, fasilitas lengkap",
06-12-2021,84,75,2,1,0,1,Tanah Sareal,SHM,2200,,810000000,https://www.rumah.com/listing-properti/dijual-kayu-manis-residence-oleh-nova-tiara-19265836,"Lokasi strategis, fasilitas taman, keamanan 24 jam",
06-12-2021,162,164,5,5,0,2,Gunung Putri,SHM,3500,Utara,2536000000,https://www.rumah.com/listing-properti/dijual-kota-wisata-cibubur-i-cluster-miami-lebar-8-oleh-dk-sari-18289350,"Fasilitas lengkap , dekat dengan fasilitas komersial (fresh market, starbucks, burger king, mcdonalds, dll)",
07-12-2021,72,65,3,2,0,1,Cileungsi,SHM,1300,,750000000,https://www.rumah.com/listing-properti/dijual-metland-cileungsi-cluster-anggrek-oleh-victor-17896713,Keamanan 24 jam,
07-12-2021,200,260,4,4,1,1,Gunung Putri,SHM,4400,,2975000000,https://www.rumah.com/listing-properti/dijual-rumah-cantik-siap-huni-kota-wisata-bogor-oleh-sancoyo-16817542,"Rumah siap huni, lokasi strategis",
07-12-2021,72,36,2,1,0,1,Bogor Barat,SHM,1300,,350000000,https://www.rumah.com/listing-properti/dijual-dramaga-village-oleh-praba-rini-19366917,"Keamanan 24 jam, area bermain, trek lari, lapangan terbuka, taman pribadi, pemandangan hijau",
07-12-2021,60,39,2,1,0,1,Parung,SHGB,2200,,670000000,https://www.rumah.com/listing-properti/dijual-grand-duta-city-oleh-nova-tiara-19191297,"Keamanan 24 jam, area bermain, taman pribadi, pemandangan hijau",
07-12-2021,112,169,5,5,0,2,Gunung Putri,SHM,3500,Danau,2128000000,https://www.rumah.com/listing-properti/dijual-kota-wisata-cluster-mississippi-promo-kpr-tanpa-dp-oleh-dk-sari-19258975,Fasilitas lengkap,
07-12-2021,30,25,1,1,0,1,Cibinong,SHM,1300,,130000000,https://www.rumah.com/listing-properti/dijual-cibinong-oleh-arief-priyono-19361394,"Lokasi strategis, keamanan 24 jam, arena bermain, dekat TOL, stasiun dan sekolah, terdapat klinik kesehatan",
07-12-2021,162,100,3,2,0,1,Gunung Putri,SHM,1300,,1250000000,https://www.rumah.com/listing-properti/dijual-bukit-golf-riverside-cluster-riverside-1-oleh-togi-m-siahaan-18429186,"Fasilitas kawasan hijau, lapangan golf, pertokoan, dekat dengan Tol Cimanggis",
