Created_at,LT(m²),LB(m²),KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,Deskripsi
06-12-2021,288,400,4,3,1,2,Sambikerep,SHGB,10000,utara,5950000000,https://www.rumah123.com/properti/surabaya/hos9292214/,"*DIJUAL RUMAH SIAP HUNI, FULL FURNISHED!!! TINGGAL BAWA KOPER AJA!!!*
Lokasi: *Raffles Garden, Citraland*
Dimensi 12x24, 2 Lantai, LT 288 LB +- 400, KT 4+1 KM 3+1, HGB murni, Hadap Utara 10.000W, Carport 2 mobil, Garasi 1 Mobil, Row 2,5 Mobil, *Full Furnished all include!!*, Dapur Sudah Anti Rayap
Harga: 6,5M >> *5,95M NEGO SAMPAI DEAL!!!*"
06-12-2021,368,390,4,3,,,Sambikerep,SHM,2200,timur - selatan,8500000000,https://www.rumah123.com/properti/surabaya/hos9134432/,"Rumah Dijual Surabaya *RUMAH DIAMOND HILL CITRALAND*
BANGUNAN PROVEST

LT.368M² / 16X23
LB.390M² / 2LT
HOOK TIMUR - SELATAN"
06-12-2021,60,100,3,2,,1,Tambaksari,SHM,2200,timur,950000000,https://www.rumah123.com/properti/surabaya/hos9291742/,"Rumah Minimalis Lebak Jaya, 10 menit ke Galaxy Mall, 12 menit ke East Coast Mall
LT : 60 m2, Dimensi 5 x 12, LB : 2 lantai, SHM
KT : 3 (2 atas, 1 bawah), KM : 2 (1 atas, 1 bawah), Dapur, Carport, Teras depan
PLN 2200 watt, Hadap timur
Harga 950jt nego tipis"
26-11-2021,264,425,6,7,,,Sambikerep,SPPJB,5500,,6500000000,https://www.rumah123.com/properti/surabaya/hos9021507/,"Rumah Dijual Surabaya
DIJUAL RUMAH WATERFRONT CITRALAND BARU GRES MEWAH dekat Citraland CBD, Universitas Ciputra, area komersial.
Citraland Waterfront
LT 264 m2 (12x22), LB 425 m2 (2.5 lantai), Hadap Selatan, PPJB (bisa KPR), KT 5+1 (semua KM dalam), KM 6+1 ,PDAM + Listrik 5500W
Detail :
Smart home system, Granite tile 100x100, Pintu kayu Merbabu, Fasad Travertine Gold, Anti rayap Premise (Jerman), Pipa anti rayap bawah, Pondasi tiang pancang"
24-11-2021,450,630,5,6,,,Mulyorejo,SHM,,timur,10500000000,https://www.rumah123.com/properti/surabaya/hos9019027/,"LT 450 m² (15x30) // LB ± 630 m², KT 4+1/KM 5+1 / Storage room 2, Surat SHM, hadap Timur, ROW jalan 12 mtr, Taman depan & belakang, Sirkulasi udara & pencahayaan bagus, Akses pembantu terpisah, Pondasi tiang pancang .Granite tile mewah 120x240 Monalisa Tiles, Kusen YKK finished goods, Sanitary TOTO, Pintu kayu Merbau Nippo Tech, Plafon panel sheet tahan rayap & api, tinggi 3,5 mtr
*Harga Rp 10,5M nego*"
30-11-2021,165,95,4,3,,,Tenggilis Mejoyo,SHM,2200,utara - barat,1850000000,https://www.rumah123.com/properti/surabaya/hos8259847/,"*MURAH* Rumah Siap Huni Terawat 
Kutisari Indah Dekat Univ Petra, Dekat Juanda, Dekat RS Royal 
Lt 165m (12*13,75) , Lb 95m 2 lantai Kt 3+1 : Km 2+1, Hadap Utara Barat (hoek) , PLN 2200w SHM 
Harga 2,4M turun 1,850M nego sampai deal "
30-09-2021,166,400,5,5,,,Sambikerep,SHM,6600,timur - selatan,1900000000,https://www.rumah123.com/properti/surabaya/hos9236448/,"*Rumah 2 Lantai Istimewa Siap Huni @ Sambikerep*
Surabaya Barat , Bebas Banjir, One Gate System
*Spesifikasi :*
 LT166m² (12x13,5),  LB400m² (2,5 Lantai), Posisi Hook Selatan/Timur, KT5 KM5 / Kitchen Set,  Space Gudang 24m²,  Space Toko 72m², Listrik 6600W, SHM I IMB I PBB Siap, Row Jalan 3 Mobil
* Harga 1,9M Nego *"
06-12-2021,60,100,3,2,,1,Tambaksari,SHM,2200,timur,950000000,https://rumahdijual.com/surabaya/11762023-minimalis-lebak-jaya-10-menit-ke-galaxy-mall.html,"Rumah Minimalis Lebak Jaya, 10 menit ke Galaxy Mall, 12 menit ke East Coast Mall
LT : 60 m2, Dimensi 5 x 12, LB : 2 lantai, SHM, KT : 3 (2 atas, 1 bawah), KM : 2 (1 atas, 1 bawah), Dapur, Carport, Teras depan, PLN 2200 watt, Hadap timur
Harga 950jt nego tipis
Kami juga bisa membantu menguruskan KPR (FREE)"
06-12-2021,350,300,4,2,,,Tambaksari,SHM,13200,barat,2650000000,https://rumahdijual.com/surabaya/11761413-rumah-dijual-disewakan-jl-ploso-timur.html,"*PLOSO TIMUR RUMAH DIJUAL / DISEWAKAN*                 Luas tanah: 350 m²
Ukuran : 10 x 35 m, Luas bangunan : 300 m², Panjang:
Rumah depan - 15 m, Gudang belakang - 20 m, Sertifikat: SHM, IMB: ada, Kamar tidur: 3+1, Kamar mandi: 1+1, Hadap: barat, Listrik: 13.200 Watt, Air ,PDAM - ada, Sumur - ada, AC: satu, Telpon: ada
Perabot yang ditinggal: Pompa air
Harga:*Sewa - 60 jt/thn* *Jual - 2.65M* Nego"
06-12-2021,98,80,2,1,,,Lakarsantri,SHM,1300,selatan,1300000000,https://rumahdijual.com/surabaya/5284877-jual-cepat-rumah-murah-permata-safira-strategis-siap-huni.html,"Dijual cepat murah rumah Permata Safira strategis siap huni tinggal bawa koper
lt 98 lb 80, dimensi 7 * 14, kt 2 km 1, hadap Selatan, SHM, Full Furnish
Jual 1,3 M/Nego"
