created_at,LT (M2),LB (M2),KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,Deskripsi 
23-11-2021,60,75,3,2,,1,Denpasar,SHM,2200,Utara,825000000,https://www.lamudi.co.id/rumah-baru-denpasar-selatan-free-semua-biaya-dari-pembeli.html,"Rumah baru inden modern desain di Pamogan,  Denpasar Selatan,  lokasi rumah ada di pojok timur kawasan perumahan di Jalan Mekar Pemogan, masuk dr jalan raya utama pemogan kurleb 7 menit sampai di lokasi.Baru masuk dr jalan raya utama, kawasan sudah banyak perumahan warga, karena mmg area disini sangat strategis kemana mana, apalagi dekat dg airport dan Kuta - Namun ketika sampai di lokasi 3 unit yang ditawarkan diatas, anda akan mendapati pemandangan yang sangat Hijau, nyaman, dan masih sepi sehingga sangat pas buat tempat tinggal anda.Berbatasan langsung dg sawah sawah luas dan ada jogging track juga."
04-12-2021,128,120,3,3,,,Badung,SHM,4400,,2400000000,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-di-sunset-road-kuta-oleh-i-komang-udiana-19329780,"Belakang Rs Siloam Sunset road. Miliki Hunian Premium di Pusat Kota di Kelilingi Fasilitas Pendidikan,Mall Dan Rumah Sakit. Berada di Kawasan objek wisata Kuta, Seminyak dan Canggu.yang memiliki nilai investasi yang sangat menjanjikan."
03-12-2021,36,100,2,1,,1,Gianyar,SHM,1300,,300000000,https://www.rumah.com/listing-properti/dijual-dijual-rumah-minimalis-di-gianyar-tabanan-bali-oleh-rani-pratiwi-19035694,"Dijual rumah minimalis ekonomis di daerah Gianyar, Tabanan, Bali. Harga murah meriah. Lingkungan asri dan nyaman, beberapa ada yang view sawah. Unit terbatas"
07-12-2021,210,180,3,3,,1,Badung,SHM,2200,,5500000000,https://www.rumah.com/listing-properti/dijual-do-065-dijual-rumah-di-kawasan-sunset-road-yang-strategis-oleh-ngurah-j%C3%B3el-19250637,"Dekat ke Canggu/ seminyak/ tuban dan sekitarnya. Central ke obyek wisata utara, central dan selatan badung, Bali"
07-12-2021,150,250,3,3,,1,Denpasar,SHM,3500,,3000000000,https://www.rumah.com/listing-properti/dijual-do-08-dijual-rumah-mewah-berlokasi-di-pusat-kota-denpasar-oleh-ngurah-j%C3%B3el-18563737,Dekat dengan pusat pemerintahan dan berletak di pusat kota denpasar
07-12-2021,105,100,4,3,,1,Badung,SHM,2200,,1350000000,https://www.rumah.com/listing-properti/dijual-do-022-dijual-rumah-di-kawasan-perumahan-eksklusif-nusa-dua-dan-aman-oleh-ngurah-j%C3%B3el-18627997,Perumahan eksklusif di Jl raya Kampial Nusa Dua dengan akses perumahan yang lebar dan dekat ke fasilitas dan tempat pariwisata.
07/12/2021,225,400,5,4,,,Denpasar,SHM,7700,,3750000000,https://www.rumahku.com/p/RZ7RT048/rumah-dijual-pedungan-denpasar-80222,"Jual RUMAH PEDUNGAN DENPASAR, BALI, JL NUANSA KORI UTAMA PEDUNGAN DENPASAR BALI"
07/12/2021,200,191,4,3,,,Denpasar,SHM,3500,,3300000000,https://www.rumahku.com/p/RZ7RT045/rumah-dijual-dangin-puri-denpasar-80232,"Jual RUMAH DENPASAR BARAT DENPASAR, BALI, TUKAD BARITO DENPASAR BALI"
07/12/2021,150,150,4,5,2,,Denpasar,SHM,5500,Selatan,2000000000,https://www.rumahku.com/p/TKV20002/rumah-dijual-kesiman-denpasar-80237,"Dijual rumah mewah Full FINISHED Daerah Denpasar Timur. Akses jalan : Jalan lebar 4.5 Meter. Dikelilingi oleh perumahan, View tembusan persawahan, Lokasi : Denpasar Timur, Area lokasi masuk ke dalam Gang danSekitar 50 meter dari jalan utama"
07/12/2021,100,60,3,3,1,,Denpasar,SHM,2300,Selatan,850000000,https://www.rumahku.com/p/PROPE408/rumah-dijual-kesiman-kertalangu-denpasar-80237,"Dijual Rumah Modern Minimalis Di Kawasan Kesiman Kertalangu Denpasar Timur
Berada Dalam Perumahan One Gate Security System Dengan Suasana Tenang Dan Nyaman"
07/12/2021,80,100,3,3,,1,Denpasar,SHM,1300,Utara,1170000000,https://www.rumahku.com/p/SMNW6786/rumah-dijual-padangsambian-denpasar-80117,"Dijual Rumah 2 lantai 3 bed room design modern tropical minimalis kota Denpasar, Bonus kitchen set dan kompor untuk pemesanan Agustus -oktober 2021. Lokasi diantara pusat kota Denpasar, dan pusat wisata pantai,Canggu,Kerobokan dan Seminyak."
07/12/2021,457,250,8,4,3,3,Denpasar,SHM,,,4000000000,https://www.rumahku.com/p/ZNBH7002/rumah-dijual-sumerta-kauh-denpasar-80236,"Dijual Cepat, Rumah dengan lokasi strategis, Akses jalan bagus, Di pusat kota. Nego"
07/12/2021,65,70,3,2,,1,Denpasar,SHM,1300,Selatan,1100000000,https://www.rumahku.com/p/PROPE401/rumah-dijual-pemecutan-klod-kelod-denpasar-80119,Dijual Rumah Modern Minimalis Dan Full Furnished Di Kawasan Jalan Subur Monang Maning Denpasar Barat
